query,product
me duele la cabeza,"TRAMADOL/PARACETAMOL VIATRIS 37,5 MG/325 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG"
tengo fiebre,GELOCATIL 1 g SOLUCION ORAL
dolor de garganta,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para la tos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
necesito un antibiótico,AMOXICILINA/ACIDO CLAVULANICO NORMON 2000 mg/200 mg POLVO PARA SOLUCION PARA PERFUSION EFG
presión arterial alta,LERZAM 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
tengo alergia,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
dolor muscular,IBUFEN JUNIOR 200 MG POLVO ORAL
infección cutánea,CLORXIL 10 mg/ml SOLUCION PARA PULVERIZACION CUTANEA
dolor de regla,NAPROXENO SODICO CINFA 550 mg COMPRIMIDOS EFG
problemas para dormir,DIAZEPAM CINFA 5 MG COMPRIMIDOS EFG
tengo ansiedad,ORFIDAL 1 mg COMPRIMIDOS
dolor en el pecho,NITRODERM TTS 15 PARCHES TRANSDERMICOS
colesterol alto,ALZIL 10 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
anticonceptivo,"MELIANE DIARIO 0,075 mg / 0,02 mg COMPRIMIDOS RECUBIERTOS"
tengo mareo,BETAHISTINA SANDOZ 16 MG COMPRIMIDOS EFG
dolor fuerte,METAMIZOL NORMON 500 MG/ML GOTAS ORALES EN SOLUCION EFG
antipsicótico,QUDIX PROLONG 300 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG
epilepsia,LEVETIRACETAM CINFA 1000 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
infección respiratoria,AMOXICILINA NORMON 500 MG COMPRIMIDOS EFG
