query,product
algo para la tos,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para la tos,"FLUTOX 3,54 mg/ml JARABE"
algo para la tos,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
algo para la tos,CINFATOS 15 MG SOLUCION ORAL EN SOBRES
algo para la tos,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL"
algo para la tos,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para la tos,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres
algo para la tos,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para la tos,PROPALCOF 15 mg/5 ml JARABE
algo para la tos,"CINFATOS NOCHE 1,33 MG/ML + 2 MG/ML SOLUCION ORAL"
algo para la tos,CINFATOS 2 mg/ ml SOLUCION ORAL
algo para la tos,CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
algo para la tos,TOSSEVO 6 MG/ML JARABE EFG
algo para la tos,FRENADOL DESCONGESTIVO CAPSULAS DURAS
algo para la tos,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para la tos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para la tos,CINFATOS COMPLEX suspensión oral
algo para la tos,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES
algo para la tos,CINFATOS 10 mg PASTILLAS PARA CHUPAR
algo para la tos,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE
algo para la tos,ANGITUSS 6MG/ML JARABE
algo para la tos,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para la tos,"CLOPERASTINA NORMON 3,54 mg/ml SUSPENSION ORAL"
algo para la tos,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL
algo para la tos,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL
algo para la tos,BRONCOMEDICAL CON SULFOGUAYACOL 2MG/ML + 10MG/ML JARABE
algo para la tos,CINFATOS DESCONGESTIVO SOLUCION ORAL
algo para la tos,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,ASPIRINA PLUS 500 mg/ 50 mg COMPRIMIDOS
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL CINFA 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
algo para el dolor de cabeza,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,PARACETAMOL/IBUPROFENO SANDOZ CARE 500 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,IBUFEN 50 MG/G GEL
algo para el dolor de cabeza,IBUDOL 50 MG/G GEL
algo para el dolor de cabeza,FLUIMUCIL COMPLEX 500 mg/200 mg COMPRIMIDOS EFERVESCENTES
algo para el dolor de cabeza,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES
algo para el dolor de cabeza,ANTIDOL 500 MG SOLUCION ORAL
algo para el dolor de cabeza,IBUFEN INFANTIL FORTE 40 MG/ML SUSPENSION ORAL
algo para el dolor de cabeza,DIFENATIL 1 G COMPRIMIDOS
algo para el dolor de cabeza,GELOCATIL 1 g SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL 650 mg SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO CINFA 20 MG/ML SUSPENSIÓN ORAL EFG
algo para el dolor de cabeza,DOCTRIL FORTE 400 MG COMPRMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,SARIDON 250 mg/150 mg/50 mg COMPRIMIDOS
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL NORMON 37,5 mg/ 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
algo para el dolor de cabeza,PHARMAGRIP FORTE CONGESTION Y SECRECION NASAL POLVO PARA SUSPENSION ORAL
algo para el dolor de cabeza,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA
algo para el dolor de cabeza,GELOCATIL PEDIATRICO 325 mg granulado
algo para el dolor de cabeza,ANTIDOL 1 G COMPRIMIDOS
algo para el dolor de cabeza,ENANTYUM 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,"DEXKETOPROFENO STADA 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
algo para el dolor de cabeza,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL
algo para el dolor de cabeza,DOLOVANZ FORTE 25 MG SOLUCIÓN ORAL
algo para el dolor de cabeza,ANTIDOL 1 G SOLUCION ORAL
algo para el dolor de cabeza,ASPIRINA 500 mg COMPRIMIDOS EFERVESCENTES
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL STADA 37,5 mg / 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
algo para el dolor de cabeza,IBUFEN INFANTIL 20 MG/ML SUSPENSION ORAL
algo para el dolor de cabeza,ENDOLEX 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para el dolor de cabeza,VINCIGRIP CAPSULAS DURAS
algo para el dolor de cabeza,PARACETAMOL CINFA 650 MG COMPRIMIDOS EFG
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL STADA 37,5 MG/325 MG COMPRIMIDOS EFERVESCENTES EFG"
algo para el dolor de cabeza,GELOPROFEN RAPID 400 MG POLVO PARA SUSPENSION ORAL
algo para el dolor de cabeza,GELOCATIL 500 mg GRANULADO
