query,positive,negative
algo para la tos,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL,IBUFEN INFANTIL 20 MG/ML SUSPENSION ORAL
algo para la tos,"FLUTOX 3,54 mg/ml JARABE",ADIRO 300MG comprimidos gastrorresistentes EFG
algo para la tos,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL,ANTIDOL 1 G POLVO EFERVESCENTE
algo para la tos,CINFATOS 15 MG SOLUCION ORAL EN SOBRES,PHARMAFREN 200 MG/30 MG CAPSULAS DURAS
algo para la tos,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL",PARACETAMOL/IBUPROFENO SANDOZ CARE 500 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para la tos,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL,ANTIDOL 500 MG SOLUCION ORAL
algo para la tos,CINFATOS EXPECTORANTE 10 mg + 100 mg solución oral en sobres,IBUFEN 50 MG/G GEL
algo para la tos,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS",DEXKETOPROFENO TECNIGEN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para la tos,PROPALCOF 15 mg/5 ml JARABE,ANTIDOL 1 G SOLUCION ORAL
algo para la tos,"CINFATOS NOCHE 1,33 MG/ML + 2 MG/ML SOLUCION ORAL","TRAMADOL/PARACETAMOL CINFA 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG"
algo para la tos,CINFATOS 2 mg/ ml SOLUCION ORAL,SERACTIL 400 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para la tos,CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL,CINFATOS COMPLEX suspensión oral
algo para la tos,TOSSEVO 6 MG/ML JARABE EFG,ENDOLEX 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para la tos,FRENADOL DESCONGESTIVO CAPSULAS DURAS,CAFIASPIRINA 500 mg/50 mg COMPRIMIDOS
algo para la tos,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL,NAPROXENO NORMON 500 mg COMPRIMIDOS EFG
algo para la tos,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS,"ENANDOL 12,5 mg COMPRIMIDOS RECUBIERTOS CON PELICULA"
algo para la tos,CINFATOS COMPLEX suspensión oral,ANTIDOL 1 G POLVO EFERVESCENTE
algo para la tos,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES,ENANDOL 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA
algo para la tos,CINFATOS 10 mg PASTILLAS PARA CHUPAR,ANTIDOL 1 G SOLUCION ORAL
algo para la tos,INISTOLIN PEDIATRICO TOS Y CONGESTION 2 MG/ML + 6 MG/ML JARABE,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para la tos,ANGITUSS 6MG/ML JARABE,NOLOTIL 575 mg CAPSULAS DURAS
algo para la tos,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION,ESPIDIDOL 400 mg COMPRIMIDOS RECUBIERTOS
algo para la tos,"CLOPERASTINA NORMON 3,54 mg/ml SUSPENSION ORAL",TERMALGIN RESFRIADO 500 MG/30 MG POLVO PARA SOLUCION ORAL
algo para la tos,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL,IBUPROFENO (ARGININA) NORMON 600 mg GRANULADO PARA SOLUCION ORAL EFG
algo para la tos,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL,DEXKETOPROFENO TECNIGEN 25 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG
algo para la tos,BRONCOMEDICAL CON SULFOGUAYACOL 2MG/ML + 10MG/ML JARABE,CINFATOS COMPLEX suspensión oral
algo para la tos,CINFATOS DESCONGESTIVO SOLUCION ORAL,DIFENATIL 650 MG COMPRIMIDOS
algo para la tos,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA
algo para el dolor de cabeza,ASPIRINA PLUS 500 mg/ 50 mg COMPRIMIDOS,CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL CINFA 37,5 mg/325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",CINFATOS DESCONGESTIVO SOLUCION ORAL
algo para el dolor de cabeza,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,PARACETAMOL/IBUPROFENO SANDOZ CARE 500 MG/200 MG COMPRIMIDOS RECUBIERTOS CON PELICULA,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para el dolor de cabeza,IBUFEN 50 MG/G GEL,CINFATOS COMPLEX suspensión oral
algo para el dolor de cabeza,IBUDOL 50 MG/G GEL,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,FLUIMUCIL COMPLEX 500 mg/200 mg COMPRIMIDOS EFERVESCENTES,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES
algo para el dolor de cabeza,ACTRON COMPUESTO 267 MG/133 MG/40 MG COMPRIMIDOS EFERVESCENTES,CINFATOS 10 mg PASTILLAS PARA CHUPAR
algo para el dolor de cabeza,ANTIDOL 500 MG SOLUCION ORAL,NORMOGRIP ANTITUSIVO GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUFEN INFANTIL FORTE 40 MG/ML SUSPENSION ORAL,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
algo para el dolor de cabeza,DIFENATIL 1 G COMPRIMIDOS,PROPALCOF 15 mg/ml GOTAS ORALES EN SOLUCION
algo para el dolor de cabeza,GELOCATIL 1 g SOLUCION ORAL,CINFATOS INFANTIL 1 mg / ml SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL 650 mg SOLUCION ORAL,FRENADOL FORTE GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,IBUPROFENO CINFA 20 MG/ML SUSPENSIÓN ORAL EFG,"FLUTOX 10 mg, COMPRIMIDOS RECUBIERTOS"
algo para el dolor de cabeza,DOCTRIL FORTE 400 MG COMPRMIDOS RECUBIERTOS CON PELICULA,"CINFATUSINA 3,54 mg/ml SUSPENSIÓN ORAL"
algo para el dolor de cabeza,SARIDON 250 mg/150 mg/50 mg COMPRIMIDOS,NORMOTUS ANTITUSIVO 2 MG/ML SOLUCIÓN ORAL
algo para el dolor de cabeza,"TRAMADOL/PARACETAMOL NORMON 37,5 mg/ 325 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",CINFATOS EXPECTORANTE 2 mg/ml + 20 mg/ml SOLUCION ORAL
algo para el dolor de cabeza,PHARMAGRIP FORTE CONGESTION Y SECRECION NASAL POLVO PARA SUSPENSION ORAL,PROPALCOF 15 mg/5 ml JARABE
algo para el dolor de cabeza,NOVIDOL 50 MG/ML SOLUCION PARA PULVERIZACION CUTANEA,FRENADOL JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,GELOCATIL PEDIATRICO 325 mg granulado,CINFATOS 15 MG COMPRIMIDOS BUCODISPERSABLES
algo para el dolor de cabeza,ANTIDOL 1 G COMPRIMIDOS,NORMOGRIP ANTITUSIVO JUNIOR GRANULADO PARA SOLUCION ORAL
algo para el dolor de cabeza,ENANTYUM 25 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,PROPALCOF 15 mg/5 ml JARABE
algo para el dolor de cabeza,"DEXKETOPROFENO STADA 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG","CLOPERASTINA NORMON 3,54 mg/ml SUSPENSION ORAL"
algo para el dolor de cabeza,PHARMAGRIP TOS Y CONGESTIÓN POLVO PARA SOLUCION ORAL,"FLUTOX 3,54 mg/ml JARABE"
algo para el dolor de cabeza,DOLOVANZ FORTE 25 MG SOLUCIÓN ORAL,TERMALDINA CODEINA 300 mg/ 15 mg CAPSULAS
